input,threads,result,elapsed_time
inputs/0.txt,0,3.0,0.0098788
inputs/0.txt,1,3.0,0.11499129999999999
inputs/0.txt,2,3.0,0.1605464
inputs/0.txt,3,3.0,0.1893492
inputs/0.txt,4,3.0,0.2288456
inputs/0.txt,5,3.0,0.2837663
inputs/0.txt,6,3.0,0.2927617
inputs/0.txt,7,3.0,0.27393290000000003
inputs/0.txt,8,3.0,0.29545330000000003
inputs/0.txt,9,3.0,0.277269
inputs/0.txt,10,3.0,0.2781813
inputs/0.txt,11,3.0,0.2817459
inputs/0.txt,12,3.0,0.2848919
inputs/0.txt,13,3.0,0.2757171
inputs/0.txt,14,3.0,0.2828021
inputs/0.txt,15,3.0,0.29900669999999996
inputs/0.txt,16,3.0,0.2858794
inputs/0.txt,32,3.0,0.2729128
inputs/0.txt,64,3.0,0.2956538
inputs/1.txt,0,1426.0,0.6316566
inputs/1.txt,1,1426.0,0.18351599999999998
inputs/1.txt,2,1426.0,0.4102347
inputs/1.txt,3,1426.0,0.6085419
inputs/1.txt,4,1426.0,0.6184916
inputs/1.txt,5,1426.0,0.6850118000000001
inputs/1.txt,6,1426.0,0.7941167
inputs/1.txt,7,1426.0,0.9596842000000001
inputs/1.txt,8,1426.0,1.0853423
inputs/1.txt,9,1426.0,1.11152
inputs/1.txt,10,1426.0,1.29398
inputs/1.txt,11,1426.0,1.326872
inputs/1.txt,12,1426.0,1.303494
inputs/1.txt,13,1426.0,1.4742950000000001
inputs/1.txt,14,1426.0,1.483895
inputs/1.txt,15,1426.0,1.548279
inputs/1.txt,16,1426.0,1.768486
inputs/1.txt,32,1426.0,3.8116630000000002
inputs/1.txt,64,1426.0,8.237545
inputs/2.txt,0,304865.0,10997.630000000001
inputs/2.txt,1,304865.0,587.0759
inputs/2.txt,2,304865.0,305.67089999999996
inputs/2.txt,3,304865.0,258.13530000000003
inputs/2.txt,4,304865.0,223.11129999999997
inputs/2.txt,5,304865.0,174.21710000000002
inputs/2.txt,6,304865.0,171.2858
inputs/2.txt,7,304865.0,164.46679999999998
inputs/2.txt,8,304865.0,157.5592
inputs/2.txt,9,304865.0,152.8642
inputs/2.txt,10,304865.0,158.26489999999998
inputs/2.txt,11,304865.0,157.3268
inputs/2.txt,12,304865.0,159.2252
inputs/2.txt,13,304865.0,156.5328
inputs/2.txt,14,304865.0,156.0352
inputs/2.txt,15,304865.0,145.6497
inputs/2.txt,16,304865.0,165.5181
inputs/2.txt,32,304865.0,260.34569999999997
inputs/2.txt,64,304865.0,1098.7698
inputs/3.txt,0,143562.0,4963.194
inputs/3.txt,1,143562.0,277.2877
inputs/3.txt,2,143562.0,153.0849
inputs/3.txt,3,143562.0,134.6219
inputs/3.txt,4,143562.0,114.61494
inputs/3.txt,5,143562.0,95.7594
inputs/3.txt,6,143562.0,97.43526
inputs/3.txt,7,143562.0,125.12365
inputs/3.txt,8,143562.0,124.2702
inputs/3.txt,9,143562.0,115.424
inputs/3.txt,10,143562.0,128.0642
inputs/3.txt,11,143562.0,109.82950000000001
inputs/3.txt,12,143562.0,124.28420000000001
inputs/3.txt,13,143562.0,129.2173
inputs/3.txt,14,143562.0,149.5461
inputs/3.txt,15,143562.0,133.58589999999998
inputs/3.txt,16,143562.0,138.1822
inputs/3.txt,32,143562.0,247.12179999999998
inputs/3.txt,64,143562.0,1057.5875
inputs/4.txt,0,751184.0,30815.24
inputs/4.txt,1,751184.0,1763.688
inputs/4.txt,2,751184.0,903.8353999999999
inputs/4.txt,3,751184.0,705.3818
inputs/4.txt,4,751184.0,566.259
inputs/4.txt,5,751184.0,497.6662
inputs/4.txt,6,751184.0,451.5902
inputs/4.txt,7,751184.0,412.7768
inputs/4.txt,8,751184.0,379.5378
inputs/4.txt,9,751184.0,354.466
inputs/4.txt,10,751184.0,338.8846
inputs/4.txt,11,751184.0,340.6444
inputs/4.txt,12,751184.0,339.2294
inputs/4.txt,13,751184.0,340.133
inputs/4.txt,14,751184.0,407.4908
inputs/4.txt,15,751184.0,391.07620000000003
inputs/4.txt,16,751184.0,374.273
inputs/4.txt,32,751184.0,630.9838
inputs/4.txt,64,751184.0,2165.9669999999996
inputs/5.txt,0,447002.0,32435.04
inputs/5.txt,1,447002.0,1774.109
inputs/5.txt,2,447002.0,918.9880999999999
inputs/5.txt,3,447002.0,766.5635
inputs/5.txt,4,447002.0,631.987
inputs/5.txt,5,447002.0,548.3814
inputs/5.txt,6,447002.0,434.4028
inputs/5.txt,7,447002.0,434.09880000000004
inputs/5.txt,8,447002.0,446.4291
inputs/5.txt,9,447002.0,400.6739
inputs/5.txt,10,447002.0,422.0701
inputs/5.txt,11,447002.0,461.81980000000004
inputs/5.txt,12,447002.0,477.4061
inputs/5.txt,13,447002.0,505.9892
inputs/5.txt,14,447002.0,536.8575
inputs/5.txt,15,447002.0,515.6364
inputs/5.txt,16,447002.0,567.9724
inputs/5.txt,32,447002.0,826.405
inputs/5.txt,64,447002.0,3107.799
